City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
328,Nicoya,CR,85.89,10.1483,-85.452,Las Cabinas Del Sueño
329,Korla,CN,77.25,41.7597,86.1469,Gulisitan Hotel
330,Broome,US,67.53,42.2506,-75.833,Chenango Valley State Park
332,Balabac,PH,82.6,7.9868,117.0645,Batalla’s Lodging House
333,Russell,US,89.91,32.3502,-85.1999,Macs
334,Loreto,MX,83.07,22.2667,-101.9667,José de Jesús Velásquez mora
335,Los Llanos De Aridane,ES,64.15,28.6585,-17.9182,Valle Aridane
337,Huarmey,PE,71.42,-10.0681,-78.1522,Hotel Miramar
338,Joshimath,IN,61.16,30.5667,79.5667,Shivalik Camps & Resort
339,Lompoc,US,68.92,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
340,Yingkou,CN,57.56,40.6648,122.2283,Yingkou Juyin Junyue Hotel
341,Brownwood,US,76.32,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
345,Manokwari,ID,78.73,-0.8667,134.0833,Swiss Belhotel Manokwari
346,Wum,CM,66.56,6.3833,10.0667,Wum Council Hall
347,Alyangula,AU,73.27,-13.8483,136.4192,Groote Eylandt Lodge
348,Limoeiro Do Ajuru,BR,81.75,-1.8953,-49.3806,Hotel Dalva
349,Ribas Do Rio Pardo,BR,75.11,-20.4431,-53.7592,Pousada Avenida
350,Makat,KZ,66.25,47.6469,53.3463,Umit
351,Canecas,PT,72.55,38.8132,-9.2268,Casinha da Paula
353,Isagarh,IN,89.37,24.8333,77.8833,ACC Cement
354,San Cristobal,VE,75.38,7.7669,-72.225,Pirineos
355,Mayma,RU,50.34,52.0197,85.9114,Usadba Bereg Mechty
356,Aksu,CN,76.01,41.1231,80.2644,Pudong Holiday Hotel
358,Faanui,PF,81.36,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
359,Ancud,CL,53.98,-41.8697,-73.8203,Hotel Arena Gruesa
360,Kendal,GB,58.84,54.3268,-2.7476,Castle Green Hotel - managed by Legacy Hotels and Resorts
361,Xuddur,SO,76.69,4.1213,43.8894,Banjanay Hotel
362,Moron,AR,70.95,-34.6534,-58.6198,Hotel Morón
363,Astana,KZ,49.95,51.1801,71.446,King Hotel Astana
364,Sulphur Springs,US,69.75,33.1385,-95.6011,Clarion Pointe Sulphur Springs
365,Tracy,US,75.85,37.7397,-121.4252,"Holiday Inn Express & Suites Tracy, an IHG Hotel"
366,Norsup,VU,78.49,-16.0667,167.3833,Nabelchel Bungalows
368,Alofi,NU,73.29,-19.0595,-169.9187,Taloa Heights
369,Fiumicino,IT,66.65,41.7675,12.2291,Hotel Al Porticciolo
370,Manaure,CO,89.62,11.7751,-72.4445,Hotel Palaaima
371,Almeirim,BR,83.77,-1.5233,-52.5817,Ricácio Hotel
373,Kavieng,PG,82.74,-2.5744,150.7967,Nusa Island Retreat
374,Vredendal,ZA,62.44,-31.6683,18.5012,Tharrakamma Guest House
376,Gorontalo,ID,75.11,0.5412,123.0595,Maqna Hotel by Prasanthi
377,Clovis,US,87.84,36.8252,-119.7029,Fairfield Inn & Suites by Marriott Fresno Clovis
380,Nattam,IN,86.45,10.2333,78.2333,CR Relax Home & Alagar Waters
381,Ulundi,ZA,60.76,-28.3352,31.4162,Ekhethelo Lodge Ulundi
382,Cedar City,US,67.39,37.6775,-113.0619,Hampton Inn Cedar City
