City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
378,Balad,IQ,68.05,Clear,34.0164,44.1453,رضاوي زنوبة
379,Ocos,GT,87.98,Clouds,14.5094,-92.1933,Auto Hotel El Soñador
380,Seinajoki,FI,46.98,Clear,62.7945,22.8282,"Original Sokos Hotel Vaakuna, Seinäjoki"
382,Kabompo,ZM,62.19,Clouds,-13.5927,24.2008,Big Tree
383,Thompson,CA,62.76,Clouds,55.7435,-97.8558,Burntwood Hotel
386,Tabuk,PH,80.53,Clouds,17.4189,121.4443,Golden Berries Hotel and Convention
390,Sinnamary,GF,76.69,Clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
392,Rampur Hat,IN,81.52,Clear,24.1667,87.7833,Amantran Resort
393,Mabaruma,GY,74.52,Clouds,8.2,-59.7833,Monty Brooms Guest House
394,North Bend,US,58.91,Clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
395,Lamar,US,79.65,Clear,33.6668,-95.5836,Kings Inn Paris TX
396,Licheng,CN,73.87,Clouds,23.2955,113.8284,Xincheng Tourism Industry
397,Aswan,EG,72.7,Clear,24.0934,32.907,Nuba Nile
398,Torrington,US,57.74,Rain,41.8007,-73.1212,The Yankee Pedlar Inn
399,Bodden Town,KY,84.99,Clouds,19.2833,-81.25,Will T Place
401,Bam,IR,77.7,Clouds,29.106,58.357,Bam Tourist Hotel
402,Labrea,BR,73.92,Rain,-7.2586,-64.7981,Hotel Novo Horizonte
403,Kirakira,SB,84.92,Clouds,-10.4544,161.9205,SanBiz Lodge
404,Felanitx,ES,62.13,Clouds,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
405,Gurupa,BR,74.59,Clouds,-1.405,-51.64,Hotel Vitória
406,Tiarei,PF,87.82,Rain,-17.5333,-149.3333,Le Rocher de Tahiti
408,Umm Lajj,SA,73.76,Clear,25.0213,37.2685,Moon light Furnished Units
409,Atambua,ID,75.52,Clouds,-9.1061,124.8925,Kost Alfa Flat
410,Pabbi,PK,75.88,Clear,34.0106,71.7989,Naseem Qilla
411,Luau,AO,68.85,Clouds,-10.7073,22.2247,Casa- Bernardo Cândido
412,Margate,GB,58.87,Clouds,51.3813,1.3862,Premier Inn Margate hotel
413,Namatanai,PG,85.5,Clouds,-3.6667,152.4333,Seagulls Inn Namatani
414,Waipawa,NZ,63.18,Clouds,-41.4122,175.5153,Tora Coastal Walk
416,Yaring,TH,81.28,Rain,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
417,Vila,PT,54.48,Clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
419,Mpulungu,ZM,69.22,Clouds,-8.7623,31.1141,Chela moche guest house
421,Terme,TR,51.73,Clouds,41.2092,36.9739,OTEL GÜVEN TERME
422,Boddam,GB,48.58,Clouds,57.4667,-1.7833,Palace Hotel
425,Iranshahr,IR,82.35,Clear,27.2025,60.6848,نیک سرشت
429,Port Hardy,CA,51.98,Clouds,50.6996,-127.4199,Airport Inn-Port Hardy
430,Flinders,AU,58.37,Clear,-34.5833,150.8552,Shellharbour Resort & Conference Centre
431,Wana,PK,70.7,Clear,32.2989,69.5725,Rest House at Wana Camp
434,Correntina,BR,77.32,Clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
435,Emerald,AU,68.14,Clouds,-23.5333,148.1667,The Irish Village
436,Pacifica,US,74.71,Mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
437,Voh,NC,81.19,Clear,-20.9667,164.7,Le gîte du Koniambo
438,Yenagoa,NG,75.83,Clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
439,Laguna,US,78.15,Clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
440,Shache,CN,70.41,Clouds,38.4167,77.2406,Delong Hotel
441,Tautira,PF,81.39,Rain,-17.7333,-149.15,Pension Oaoa
