City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Morondava,MG,2022-05-05 18:28:00,-20.2833,44.2833,78.62,74,1,10.58
135,Lata,PT,2022-05-05 18:28:00,40.1629,-8.3327,69.82,50,14,6.93
136,Quatre Cocos,MU,2022-05-05 18:28:01,-20.2078,57.7625,77.11,82,57,21.68
137,Smirnykh,RU,2022-05-05 18:29:01,49.75,142.8333,32.72,98,100,5.7
138,Andreapol,RU,2022-05-05 18:29:02,56.6513,32.2664,41.92,63,99,4.47
139,Codrington,AU,2022-05-05 18:29:03,-38.2667,141.9667,48.81,86,99,2.68
140,Kaoma,ZM,2022-05-05 18:29:03,-14.7833,24.8,64.04,69,10,4.14
141,Ulladulla,AU,2022-05-05 18:29:04,-35.35,150.4667,49.1,60,27,10.31
142,Xixiang,CN,2022-05-05 18:29:04,35.1628,112.865,69.94,52,37,2.3
143,Ahipara,NZ,2022-05-05 18:29:05,-35.1667,173.1667,58.01,90,11,5.84
144,Kenai,US,2022-05-05 18:29:06,60.5544,-151.2583,50.02,58,40,14.97
145,East London,ZA,2022-05-05 18:29:06,-33.0153,27.9116,72.54,78,0,5.75
146,Kintampo,GH,2022-05-05 18:29:07,8.0563,-1.7306,83.23,64,44,1.63
147,Jieshi,CN,2022-05-05 18:29:08,22.8134,115.8257,76.95,81,79,7.47
148,Beringovskiy,RU,2022-05-05 18:29:08,63.05,179.3167,12.09,90,18,4.47
149,Kamina,CD,2022-05-05 18:29:09,-8.7386,24.9906,66.92,79,67,3.22
150,Lluta,PE,2022-05-05 18:29:10,-16.0147,-72.0142,61.41,37,0,10.09
151,Hamilton,US,2022-05-05 18:27:11,39.1834,-84.5333,63.99,75,75,8.05
152,Constantine,DZ,2022-05-05 18:29:10,36.365,6.6147,56.61,94,75,21.85
153,Avarua,CK,2022-05-05 18:29:11,-21.2078,-159.775,75.25,94,97,3.44
154,Marshfield,US,2022-05-05 18:29:11,44.6689,-90.1718,60.75,31,0,5.75
155,Kumluca,TR,2022-05-05 18:29:12,36.3703,30.2869,63.9,56,25,7.18
156,Zhigansk,RU,2022-05-05 18:29:13,66.7697,123.3711,8.1,94,17,2.17
157,Brasileia,BR,2022-05-05 18:29:13,-11.0161,-68.7481,82.85,57,20,3.44
158,Auki,SB,2022-05-05 18:29:14,-8.7676,160.7034,76.46,85,7,3.49
159,Iqaluit,CA,2022-05-05 18:29:15,63.7506,-68.5145,20.93,62,0,16.11
160,Tari,NG,2022-05-05 18:29:15,12.4086,4.4914,79.38,69,100,21.88
161,Cidreira,BR,2022-05-05 18:29:16,-30.1811,-50.2056,67.59,66,94,10.04
162,Fort Nelson,CA,2022-05-05 18:29:16,58.8053,-122.7002,51.39,28,75,4.61
163,Clonakilty,IE,2022-05-05 18:29:17,51.6231,-8.8706,62.1,85,74,12.3
164,Hamina,FI,2022-05-05 18:29:17,60.5697,27.1979,49.28,66,100,7.92
165,Eureka,US,2022-05-05 18:29:18,40.8021,-124.1637,54.75,76,100,5.99
166,Adrar,MR,2022-05-05 18:29:18,20.5022,-10.0711,95.76,11,38,7.67
167,Sur,OM,2022-05-05 18:29:19,22.5667,59.5289,82.13,64,0,5.44
168,Carnarvon,AU,2022-05-05 18:29:19,-24.8667,113.6333,64.47,52,13,6.91
169,Bengkulu,ID,2022-05-05 18:29:20,-3.8004,102.2655,76.39,88,100,4.85
170,Inhambane,MZ,2022-05-05 18:29:20,-23.865,35.3833,70.63,87,24,6.53
171,Surt,LY,2022-05-05 18:29:21,31.2089,16.5887,75.85,41,0,20.49
172,Bredasdorp,ZA,2022-05-05 18:26:03,-34.5322,20.0403,59.67,88,6,6.62
173,Komsomolskiy,UZ,2022-05-05 18:29:22,40.4272,71.7189,70.52,60,20,4.61
174,Kalianget,ID,2022-05-05 18:29:22,-7.05,113.9333,80.67,83,100,4.92
175,Sombrio,BR,2022-05-05 18:29:22,-29.1139,-49.6167,69.93,64,48,10.96
176,Saint-Felicien,CA,2022-05-05 18:29:23,48.6501,-72.4491,47.08,39,75,14.97
177,Ilhabela,BR,2022-05-05 18:29:23,-23.7781,-45.3581,74.01,70,64,11.48
178,Tuatapere,NZ,2022-05-05 18:29:24,-46.1333,167.6833,51.94,90,20,5.17
179,Matay,EG,2022-05-05 18:29:24,28.419,30.7792,74.16,28,0,19.39
180,Masindi,UG,2022-05-05 18:29:25,1.6744,31.715,66.88,93,93,2.21
181,Boca Do Acre,BR,2022-05-05 18:29:25,-8.7522,-67.3978,88.38,48,73,3.49
182,Cherskiy,RU,2022-05-05 18:29:26,68.75,161.3,30.85,88,100,6.11
183,Salalah,OM,2022-05-05 18:29:26,17.0151,54.0924,84.29,84,40,3.44
184,Nanortalik,GL,2022-05-05 18:30:27,60.1432,-45.2371,34.12,77,100,10.98
185,La Palma,US,2022-05-05 18:30:27,33.8464,-118.0467,84.67,64,20,4.61
186,Esperance,AU,2022-05-05 18:30:27,-33.8667,121.9,49.84,79,5,7.96
187,Yar-Sale,RU,2022-05-05 18:30:28,66.8333,70.8333,11.93,84,6,10.02
188,San Policarpo,PH,2022-05-05 18:30:28,12.1791,125.5072,80.73,80,100,5.08
189,Camapua,BR,2022-05-05 18:30:29,-19.5314,-54.0439,78.78,37,0,3.65
190,Marzuq,YE,2022-05-05 18:30:30,14.4,46.4667,78.26,33,0,5.97
191,Poltavka,RU,2022-05-05 18:30:30,54.3663,71.7632,52.84,78,85,8.28
